,imagem,id,cod_sku_rede,fabricante,nome_prod,preço,preço_promocional,data
0,https://atacadaobr.vtexassets.com/arquivos/ids/272305/m.jpg?v=638418539452700000,30538,30538,Italac,Leite Condensado Italac Semidesnatado TP com 395g,4.99,4.99,2024-06-04 11:07:47.510516
1,https://atacadaobr.vtexassets.com/arquivos/ids/281407/g.jpg?v=638465201590400000,31415,31415,Ninho,Leite em Pó Ninho Integral Lata com 380g,21.5,21.5,2024-06-04 11:07:47.510516
2,https://atacadaobr.vtexassets.com/arquivos/ids/233162/g.jpg?v=638353761184700000,32346,32346,Italac,Leite Longa Vida Italac Com tampa Integral TP com 1L,6.2,6.2,2024-06-04 11:07:47.510516
3,https://atacadaobr.vtexassets.com/arquivos/ids/229475/g.jpg?v=638353720309100000,13743,13743,Camil,Arroz Camil Agulhinha - Tipo 1 Pacote com 5kg,32.65,32.65,2024-06-04 11:07:47.510516
4,https://atacadaobr.vtexassets.com/arquivos/ids/230776/g.jpg?v=638353734437070000,30596,30596,Marajoara,Leite Condensado Marajoara Semidesnatado TP com 395g,5.5,5.5,2024-06-04 11:07:47.510516
5,https://atacadaobr.vtexassets.com/arquivos/ids/239783/g.jpg?v=638353833768500000,12476,12476,Heineken,Cerveja Heineken Long Neck com 330ml,6.45,6.45,2024-06-04 11:07:47.510516
6,https://atacadaobr.vtexassets.com/arquivos/ids/268123/g.jpg?v=638379660041570000,27280,27280,Italac,Creme de Leite Italac TP com 200g,3.2,3.2,2024-06-04 11:07:47.510516
7,https://atacadaobr.vtexassets.com/arquivos/ids/277276/p.jpg?v=638447916154000000,11276,11276,Amstel,Cerveja Amstel Sleek Lata com 350ml,3.5,3.5,2024-06-04 11:07:47.510516
8,https://atacadaobr.vtexassets.com/arquivos/ids/230682/g.jpg?v=638353733341500000,2371,2371,União,Açúcar União Refinado Pacote com 1kg,5.25,5.25,2024-06-04 11:07:47.510516
9,https://atacadaobr.vtexassets.com/arquivos/ids/245228/g.jpg?v=638353893014230000,15285,15285,Pampers,Fralda Descartável Pampers Supersec Jumbo G Pacote com 80 unidades,84.5,84.5,2024-06-04 11:07:47.510516
10,https://atacadaobr.vtexassets.com/arquivos/ids/250078/g.jpg?v=638353946240430000,38477,38477,Liza,Óleo de Soja Liza Pet com 900ml,5.99,5.99,2024-06-04 11:07:47.510516
11,https://atacadaobr.vtexassets.com/arquivos/ids/281244/g.jpg?v=638465199991470000,35385,35385,Garoto,Bombom Garoto Sortido Caixeta com 250g,11.9,11.9,2024-06-04 11:07:47.510516
12,https://atacadaobr.vtexassets.com/arquivos/ids/284804/m.jpg?v=638467789673200000,25779,25779,Report,Papel Sulfite Report A4 75g Pacote com 500 folhas,24.5,24.5,2024-06-04 11:07:47.510516
13,https://atacadaobr.vtexassets.com/arquivos/ids/266451/p.jpg?v=638363244863230000,39395,39395,Ypê,Sabão em Pedaço Ypê Neutro Promocional Pacote com 5x180g,9.45,9.45,2024-06-04 11:07:47.510516
14,https://atacadaobr.vtexassets.com/arquivos/ids/263896/g.jpg?v=638354097480170000,12486,12486,Heineken,Cerveja Heineken Sleek Lata com 350ml,5.19,5.19,2024-06-04 11:07:47.510516
15,https://atacadaobr.vtexassets.com/arquivos/ids/273005/m.jpg?v=638424587449770000,2455,2455,Red Bull,Energético Red Bull Lata com 250ml,9.49,9.49,2024-06-04 11:07:47.510516
16,https://atacadaobr.vtexassets.com/arquivos/ids/256710/g.jpg?v=638354019023970000,12460,12460,Heineken,Cerveja Heineken Lata com 269ml,3.99,3.99,2024-06-04 11:07:47.510516
17,https://atacadaobr.vtexassets.com/arquivos/ids/268713/g.jpg?v=638379666336300000,13410,13410,Lebre,Sal Lebre Refinado Pacote com 1kg,2.15,2.15,2024-06-04 11:07:47.510516
18,https://atacadaobr.vtexassets.com/arquivos/ids/245846/g.jpg?v=638353899970870000,25456,25456,Max Pure,Papel Higiênico Max Pure Folha dupla 30m Pacote com 12 rolos,14.37,14.37,2024-06-04 11:07:47.510516
19,https://atacadaobr.vtexassets.com/arquivos/ids/279016/g.jpg?v=638460880218430000,35370,35370,Omo,Detergente em Pó Omo Lavagem perfeita Caixeta com 800g,14.52,14.52,2024-06-04 11:07:47.510516
20,https://atacadaobr.vtexassets.com/arquivos/ids/282261/g.jpg?v=638465210140230000,40694,40694,Ninho,Leite em Pó Ninho Integral Instantâneo Lata com 380g,21.5,21.5,2024-06-04 11:07:47.510516
21,https://atacadaobr.vtexassets.com/arquivos/ids/281093/p.jpg?v=638465198495800000,17423,17423,Nestlé,"Chocolate Kit Kat Nestlé Ao Leite Unidade com 41,5g",2.99,2.99,2024-06-04 11:07:47.510516
22,https://atacadaobr.vtexassets.com/arquivos/ids/270959/m.jpg?v=638408171705100000,24528,24528,Club Social,Biscoito Big Club Social Original Pacote com 288g,9.9,9.9,2024-06-04 11:07:47.510516
23,https://atacadaobr.vtexassets.com/arquivos/ids/238822/g.jpg?v=638353823229700000,29157,29157,Ferrero,Creme Ferrero Nutella Avelã com Cacau Pote com 650g,39.9,39.9,2024-06-04 11:07:47.510516
24,https://atacadaobr.vtexassets.com/arquivos/ids/233349/g.jpg?v=638353763157600000,26366,26366,Maratá,Suco Néctar Maratá Uva TP com 200ml,1.45,1.45,2024-06-04 11:07:47.510516
25,https://atacadaobr.vtexassets.com/arquivos/ids/263377/g.jpg?v=638354091789700000,30354,30354,Snob,Toalha de Papel Snob Clássica 60 folhas Pacote com 2 rolos,6.3,6.3,2024-06-04 11:07:47.510516
26,https://atacadaobr.vtexassets.com/arquivos/ids/279096/g.jpg?v=638460880991230000,10429,10429,Flor de Ypê,Sabonete Flor de Ypê Frésia e pêssego Unidade com 85g,1.23,1.23,2024-06-04 11:07:47.510516
27,https://atacadaobr.vtexassets.com/arquivos/ids/280539/g.jpg?v=638464338528300000,13415,13415,Quero,Molho de Tomate Quero Tradicional Pouch com 300g,2.1,2.1,2024-06-04 11:07:47.510516
28,https://atacadaobr.vtexassets.com/arquivos/ids/273222/g.jpg?v=638428907418470000,326,326,Santa Helena,Doce Paçoca Santa Helena Paçoquita Rolha Embalada Caixa com 100 unidades,26.99,26.99,2024-06-04 11:07:47.510516
29,https://atacadaobr.vtexassets.com/arquivos/ids/281051/p.jpg?v=638465198060900000,28839,28839,Passatempo,Biscoito Recheado Passatempo Nestlé Chocolate Pacote com 130g,2.5,2.5,2024-06-04 11:07:47.510516
